date_time,id_A,ask_A,ask_vol_A,bid_A,bid_vol_A,last_A,id_B,ask_B,ask_vol_B,bid_B,bid_vol_B,last_B,spd_ask,spd_bid,spd_last,trading_date
2021-02-23 21:20:00,al2105,16565.0,23.0,16560.0,18.0,16560.0,al2106,16475.0,18.0,16470.0,19.0,16475.0,90.0,90.0,85.0,2021-02-24
2021-02-23 21:30:00,al2105,16560.0,1.0,16555.0,23.0,16560.0,al2106,16475.0,16.0,16465.0,8.0,16470.0,90.0,85.0,90.0,2021-02-24
2021-02-23 21:40:00,al2105,16540.0,10.0,16535.0,39.0,16535.0,al2106,16455.0,13.0,16450.0,1.0,16450.0,85.0,85.0,85.0,2021-02-24
2021-02-23 21:50:00,al2105,16585.0,25.0,16580.0,14.0,16580.0,al2106,16500.0,8.0,16495.0,7.0,16495.0,85.0,85.0,85.0,2021-02-24
2021-02-23 22:00:00,al2105,16560.0,6.0,16555.0,25.0,16560.0,al2106,16485.0,11.0,16475.0,16.0,16480.0,80.0,75.0,80.0,2021-02-24
2021-02-23 22:10:00,al2105,16570.0,28.0,16560.0,40.0,16565.0,al2106,16490.0,31.0,16485.0,4.0,16485.0,75.0,80.0,80.0,2021-02-24
2021-02-23 22:20:00,al2105,16520.0,4.0,16515.0,67.0,16520.0,al2106,16450.0,12.0,16440.0,9.0,16445.0,75.0,70.0,75.0,2021-02-24
2021-02-23 22:30:00,al2105,16520.0,2.0,16515.0,51.0,16520.0,al2106,16455.0,77.0,16445.0,35.0,16450.0,70.0,65.0,70.0,2021-02-24
2021-02-23 22:40:00,al2105,16505.0,12.0,16495.0,14.0,16500.0,al2106,16440.0,18.0,16435.0,2.0,16435.0,60.0,65.0,65.0,2021-02-24
2021-02-23 22:50:00,al2105,16510.0,4.0,16505.0,19.0,16510.0,al2106,16450.0,27.0,16445.0,14.0,16450.0,60.0,60.0,60.0,2021-02-24
2021-02-23 23:00:00,al2105,16545.0,16.0,16535.0,23.0,16540.0,al2106,16470.0,8.0,16465.0,3.0,16465.0,70.0,75.0,75.0,2021-02-24
2021-02-23 23:10:00,al2105,16560.0,8.0,16555.0,23.0,16555.0,al2106,16485.0,1.0,16480.0,5.0,16480.0,75.0,75.0,75.0,2021-02-24
2021-02-23 23:20:00,al2105,16560.0,11.0,16555.0,17.0,16555.0,al2106,16490.0,4.0,16485.0,7.0,16490.0,70.0,70.0,65.0,2021-02-24
2021-02-23 23:30:00,al2105,16580.0,119.0,16570.0,29.0,16580.0,al2106,16500.0,49.0,16490.0,16.0,16495.0,80.0,80.0,85.0,2021-02-24
2021-02-23 23:40:00,al2105,16590.0,9.0,16585.0,4.0,16585.0,al2106,16515.0,5.0,16510.0,3.0,16510.0,75.0,75.0,75.0,2021-02-24
2021-02-23 23:50:00,al2105,16580.0,31.0,16570.0,16.0,16575.0,al2106,16500.0,11.0,16495.0,1.0,16500.0,75.0,80.0,75.0,2021-02-24
2021-02-24 00:00:00,al2105,16570.0,25.0,16565.0,15.0,16565.0,al2106,16490.0,2.0,16485.0,2.0,16485.0,80.0,80.0,80.0,2021-02-24
2021-02-24 00:10:00,al2105,16565.0,7.0,16560.0,7.0,16560.0,al2106,16490.0,1.0,16485.0,8.0,16490.0,75.0,75.0,70.0,2021-02-24
2021-02-24 00:20:00,al2105,16595.0,11.0,16590.0,6.0,16590.0,al2106,16510.0,1.0,16505.0,4.0,16510.0,85.0,85.0,80.0,2021-02-24
2021-02-24 00:30:00,al2105,16610.0,22.0,16605.0,5.0,16605.0,al2106,16530.0,8.0,16520.0,2.0,16525.0,85.0,80.0,80.0,2021-02-24
