date_time,id_A,ask_A,ask_vol_A,bid_A,bid_vol_A,last_A,id_B,ask_B,ask_vol_B,bid_B,bid_vol_B,last_B,spd_ask,spd_bid,spd_last,trading_date
2018-03-19 21:20:00,al1806,14110.0,24.0,14105.0,69.0,14110.0,al1807,14200.0,36.0,14190.0,13.0,14195.0,-85.0,-90.0,-85.0,2018-03-20
2018-03-19 21:30:00,al1806,14110.0,58.0,14105.0,26.0,14110.0,al1807,14195.0,2.0,14190.0,30.0,14195.0,-85.0,-85.0,-85.0,2018-03-20
2018-03-19 21:40:00,al1806,14105.0,192.0,14100.0,138.0,14100.0,al1807,14190.0,42.0,14180.0,15.0,14185.0,-80.0,-85.0,-85.0,2018-03-20
2018-03-19 21:50:00,al1806,14100.0,57.0,14095.0,29.0,14100.0,al1807,14185.0,96.0,14180.0,51.0,14180.0,-85.0,-85.0,-80.0,2018-03-20
2018-03-19 22:00:00,al1806,14090.0,98.0,14085.0,70.0,14085.0,al1807,14175.0,26.0,14170.0,18.0,14170.0,-85.0,-85.0,-85.0,2018-03-20
2018-03-19 22:10:00,al1806,14085.0,131.0,14080.0,4.0,14080.0,al1807,14170.0,15.0,14160.0,291.0,14165.0,-80.0,-85.0,-85.0,2018-03-20
2018-03-19 22:20:00,al1806,14110.0,678.0,14105.0,6.0,14105.0,al1807,14195.0,12.0,14185.0,40.0,14190.0,-80.0,-85.0,-85.0,2018-03-20
2018-03-19 22:30:00,al1806,14100.0,34.0,14095.0,79.0,14100.0,al1807,14190.0,13.0,14185.0,3.0,14185.0,-90.0,-90.0,-85.0,2018-03-20
2018-03-19 22:40:00,al1806,14105.0,51.0,14100.0,26.0,14105.0,al1807,14190.0,14.0,14185.0,3.0,14185.0,-85.0,-85.0,-80.0,2018-03-20
2018-03-19 22:50:00,al1806,14105.0,58.0,14100.0,3.0,14100.0,al1807,14185.0,2.0,14180.0,17.0,14185.0,-80.0,-80.0,-85.0,2018-03-20
2018-03-19 23:00:00,al1806,14090.0,32.0,14085.0,27.0,14090.0,al1807,14175.0,609.0,14170.0,11.0,14170.0,-85.0,-85.0,-80.0,2018-03-20
2018-03-19 23:10:00,al1806,14110.0,249.0,14100.0,157.0,14100.0,al1807,14195.0,725.0,14185.0,17.0,14185.0,-85.0,-85.0,-85.0,2018-03-20
2018-03-19 23:20:00,al1806,14095.0,26.0,14090.0,57.0,14090.0,al1807,14180.0,14.0,14175.0,9.0,14180.0,-85.0,-85.0,-90.0,2018-03-20
2018-03-19 23:30:00,al1806,14095.0,43.0,14090.0,53.0,14090.0,al1807,14180.0,10.0,14170.0,39.0,14175.0,-80.0,-85.0,-85.0,2018-03-20
2018-03-19 23:40:00,al1806,14100.0,745.0,14090.0,78.0,14095.0,al1807,14180.0,4.0,14175.0,21.0,14175.0,-85.0,-80.0,-80.0,2018-03-20
2018-03-19 23:50:00,al1806,14100.0,21.0,14095.0,43.0,14095.0,al1807,14185.0,15.0,14180.0,2.0,14185.0,-85.0,-85.0,-90.0,2018-03-20
2018-03-20 00:00:00,al1806,14105.0,60.0,14100.0,30.0,14100.0,al1807,14190.0,14.0,14180.0,7.0,14180.0,-80.0,-85.0,-80.0,2018-03-20
2018-03-20 00:10:00,al1806,14105.0,16.0,14100.0,9.0,14105.0,al1807,14190.0,10.0,14180.0,8.0,14185.0,-80.0,-85.0,-80.0,2018-03-20
2018-03-20 00:20:00,al1806,14100.0,30.0,14095.0,33.0,14100.0,al1807,14185.0,1.0,14180.0,5.0,14185.0,-85.0,-85.0,-85.0,2018-03-20
2018-03-20 00:30:00,al1806,14110.0,40.0,14105.0,10.0,14105.0,al1807,14195.0,7.0,14185.0,6.0,14190.0,-80.0,-85.0,-85.0,2018-03-20
2018-03-20 00:40:00,al1806,14105.0,3.0,14100.0,44.0,14105.0,al1807,14190.0,2.0,14185.0,22.0,14185.0,-85.0,-85.0,-80.0,2018-03-20
2018-03-20 09:20:00,al1806,14100.0,24.0,14095.0,64.0,14100.0,al1807,14190.0,13.0,14185.0,4.0,14190.0,-90.0,-90.0,-90.0,2018-03-20
2018-03-20 09:30:00,al1806,14105.0,33.0,14100.0,58.0,14100.0,al1807,14195.0,58.0,14185.0,20.0,14190.0,-85.0,-90.0,-90.0,2018-03-20
2018-03-20 09:40:00,al1806,14115.0,38.0,14110.0,29.0,14115.0,al1807,14200.0,1.0,14195.0,5.0,14200.0,-85.0,-85.0,-85.0,2018-03-20
2018-03-20 09:50:00,al1806,14115.0,70.0,14110.0,39.0,14110.0,al1807,14200.0,157.0,14195.0,25.0,14200.0,-85.0,-85.0,-90.0,2018-03-20
2018-03-20 10:00:00,al1806,14100.0,22.0,14095.0,36.0,14100.0,al1807,14190.0,11.0,14185.0,1.0,14185.0,-90.0,-90.0,-85.0,2018-03-20
2018-03-20 10:10:00,al1806,14100.0,7.0,14095.0,107.0,14100.0,al1807,14190.0,8.0,14185.0,2.0,14180.0,-90.0,-90.0,-80.0,2018-03-20
2018-03-20 10:30:00,al1806,14085.0,28.0,14080.0,20.0,14085.0,al1807,14175.0,14.0,14170.0,46.0,14175.0,-90.0,-90.0,-90.0,2018-03-20
2018-03-20 10:40:00,al1806,14065.0,14.0,14060.0,69.0,14065.0,al1807,14155.0,42.0,14150.0,38.0,14155.0,-90.0,-90.0,-90.0,2018-03-20
2018-03-20 10:50:00,al1806,14075.0,20.0,14070.0,55.0,14070.0,al1807,14165.0,77.0,14160.0,31.0,14160.0,-90.0,-90.0,-90.0,2018-03-20
2018-03-20 11:00:00,al1806,14080.0,7.0,14075.0,38.0,14080.0,al1807,14170.0,43.0,14165.0,3.0,14165.0,-90.0,-90.0,-85.0,2018-03-20
2018-03-20 11:10:00,al1806,14070.0,45.0,14065.0,8.0,14065.0,al1807,14155.0,3.0,14150.0,9.0,14155.0,-85.0,-85.0,-90.0,2018-03-20
