date_time,id_A,ask_A,ask_vol_A,bid_A,bid_vol_A,last_A,id_B,ask_B,ask_vol_B,bid_B,bid_vol_B,last_B,spd_ask,spd_bid,spd_last,trading_date
2020-02-14 09:20:00,al2005,13735.0,49.0,13730.0,110.0,13730.0,al2006,13730.0,16.0,13725.0,12.0,13725.0,5.0,5.0,5.0,2020-02-14
2020-02-14 09:30:00,al2005,13730.0,80.0,13725.0,144.0,13725.0,al2006,13730.0,50.0,13720.0,106.0,13725.0,5.0,0.0,0.0,2020-02-14
2020-02-14 09:40:00,al2005,13740.0,134.0,13735.0,72.0,13735.0,al2006,13730.0,10.0,13725.0,33.0,13730.0,10.0,10.0,5.0,2020-02-14
2020-02-14 09:50:00,al2005,13725.0,52.0,13720.0,128.0,13725.0,al2006,13725.0,32.0,13715.0,86.0,13720.0,5.0,0.0,5.0,2020-02-14
2020-02-14 10:00:00,al2005,13715.0,58.0,13710.0,116.0,13715.0,al2006,13715.0,28.0,13710.0,93.0,13710.0,0.0,0.0,5.0,2020-02-14
2020-02-14 10:10:00,al2005,13715.0,103.0,13710.0,55.0,13710.0,al2006,13715.0,20.0,13710.0,2.0,13710.0,0.0,0.0,0.0,2020-02-14
2020-02-14 10:30:00,al2005,13715.0,99.0,13710.0,138.0,13715.0,al2006,13715.0,33.0,13710.0,23.0,13710.0,0.0,0.0,5.0,2020-02-14
2020-02-14 10:40:00,al2005,13725.0,39.0,13720.0,53.0,13725.0,al2006,13725.0,75.0,13715.0,19.0,13720.0,5.0,0.0,5.0,2020-02-14
2020-02-14 10:50:00,al2005,13725.0,29.0,13720.0,43.0,13725.0,al2006,13720.0,30.0,13715.0,72.0,13715.0,5.0,5.0,10.0,2020-02-14
2020-02-14 11:00:00,al2005,13725.0,50.0,13720.0,43.0,13720.0,al2006,13720.0,5.0,13715.0,27.0,13720.0,5.0,5.0,0.0,2020-02-14
2020-02-14 11:10:00,al2005,13715.0,61.0,13710.0,225.0,13710.0,al2006,13715.0,59.0,13710.0,45.0,13710.0,0.0,0.0,0.0,2020-02-14
2020-02-14 11:20:00,al2005,13720.0,10.0,13715.0,40.0,13720.0,al2006,13720.0,28.0,13710.0,57.0,13710.0,5.0,0.0,10.0,2020-02-14
2020-02-14 11:30:00,al2005,13720.0,9.0,13715.0,40.0,13720.0,al2006,13720.0,28.0,13710.0,57.0,13710.0,5.0,0.0,10.0,2020-02-14
2020-02-14 13:30:00,al2005,13725.0,1.0,13720.0,182.0,13725.0,al2006,13720.0,20.0,13715.0,40.0,13715.0,5.0,5.0,10.0,2020-02-14
2020-02-14 13:40:00,al2005,13725.0,33.0,13720.0,108.0,13725.0,al2006,13720.0,54.0,13715.0,36.0,13720.0,5.0,5.0,5.0,2020-02-14
2020-02-14 13:50:00,al2005,13730.0,114.0,13725.0,54.0,13725.0,al2006,13725.0,61.0,13720.0,9.0,13720.0,5.0,5.0,5.0,2020-02-14
2020-02-14 14:00:00,al2005,13730.0,93.0,13725.0,132.0,13730.0,al2006,13725.0,20.0,13720.0,14.0,13725.0,5.0,5.0,5.0,2020-02-14
2020-02-14 14:10:00,al2005,13730.0,40.0,13725.0,127.0,13725.0,al2006,13725.0,35.0,13720.0,31.0,13725.0,5.0,5.0,0.0,2020-02-14
2020-02-14 14:20:00,al2005,13735.0,117.0,13730.0,118.0,13735.0,al2006,13730.0,157.0,13725.0,10.0,13725.0,5.0,5.0,10.0,2020-02-14
2020-02-14 14:30:00,al2005,13725.0,6.0,13720.0,102.0,13725.0,al2006,13720.0,7.0,13715.0,69.0,13720.0,5.0,5.0,5.0,2020-02-14
2020-02-14 14:40:00,al2005,13730.0,291.0,13725.0,43.0,13725.0,al2006,13720.0,19.0,13715.0,78.0,13720.0,10.0,10.0,5.0,2020-02-14
2020-02-17 09:20:00,al2005,13720.0,170.0,13715.0,91.0,13715.0,al2006,13720.0,68.0,13715.0,14.0,13715.0,0.0,0.0,0.0,2020-02-17
2020-02-17 09:30:00,al2005,13705.0,122.0,13700.0,444.0,13705.0,al2006,13705.0,53.0,13700.0,878.0,13700.0,0.0,0.0,5.0,2020-02-17
2020-02-17 09:40:00,al2005,13705.0,395.0,13700.0,69.0,13700.0,al2006,13705.0,55.0,13700.0,877.0,13705.0,0.0,0.0,-5.0,2020-02-17
2020-02-17 09:50:00,al2005,13705.0,227.0,13700.0,129.0,13700.0,al2006,13705.0,10.0,13700.0,841.0,13700.0,0.0,0.0,0.0,2020-02-17
2020-02-17 10:00:00,al2005,13705.0,229.0,13700.0,34.0,13700.0,al2006,13705.0,94.0,13700.0,561.0,13700.0,0.0,0.0,0.0,2020-02-17
2020-02-17 10:10:00,al2005,13700.0,10.0,13695.0,42.0,13700.0,al2006,13705.0,41.0,13700.0,141.0,13700.0,-5.0,-5.0,0.0,2020-02-17
2020-02-17 10:30:00,al2005,13695.0,65.0,13690.0,132.0,13690.0,al2006,13700.0,32.0,13695.0,77.0,13700.0,-5.0,-5.0,-10.0,2020-02-17
2020-02-17 10:40:00,al2005,13695.0,135.0,13690.0,57.0,13690.0,al2006,13700.0,89.0,13695.0,5.0,13695.0,-5.0,-5.0,-5.0,2020-02-17
2020-02-17 10:50:00,al2005,13695.0,154.0,13690.0,60.0,13690.0,al2006,13695.0,39.0,13690.0,158.0,13695.0,0.0,0.0,-5.0,2020-02-17
2020-02-17 11:00:00,al2005,13690.0,72.0,13685.0,122.0,13685.0,al2006,13695.0,110.0,13690.0,92.0,13690.0,-5.0,-5.0,-5.0,2020-02-17
2020-02-17 11:10:00,al2005,13700.0,89.0,13695.0,115.0,13700.0,al2006,13700.0,21.0,13695.0,28.0,13700.0,0.0,0.0,0.0,2020-02-17
2020-02-17 11:20:00,al2005,13700.0,51.0,13695.0,4.0,13690.0,al2006,13700.0,29.0,13695.0,65.0,13695.0,0.0,0.0,-5.0,2020-02-17
2020-02-17 11:30:00,al2005,13700.0,51.0,13695.0,4.0,13690.0,al2006,13700.0,29.0,13695.0,65.0,13695.0,0.0,0.0,-5.0,2020-02-17
2020-02-17 13:30:00,al2005,13700.0,159.0,13695.0,42.0,13695.0,al2006,13700.0,70.0,13695.0,60.0,13695.0,0.0,0.0,0.0,2020-02-17
2020-02-17 13:40:00,al2005,13700.0,278.0,13695.0,18.0,13700.0,al2006,13695.0,37.0,13690.0,186.0,13695.0,5.0,5.0,5.0,2020-02-17
2020-02-17 13:50:00,al2005,13700.0,207.0,13695.0,119.0,13695.0,al2006,13700.0,86.0,13695.0,30.0,13700.0,0.0,0.0,-5.0,2020-02-17
2020-02-17 14:00:00,al2005,13695.0,119.0,13690.0,389.0,13695.0,al2006,13695.0,25.0,13690.0,143.0,13690.0,0.0,0.0,5.0,2020-02-17
2020-02-17 14:10:00,al2005,13700.0,241.0,13690.0,421.0,13700.0,al2006,13700.0,64.0,13695.0,14.0,13695.0,-5.0,0.0,5.0,2020-02-17
2020-02-17 14:20:00,al2005,13695.0,157.0,13690.0,274.0,13690.0,al2006,13695.0,95.0,13690.0,107.0,13690.0,0.0,0.0,0.0,2020-02-17
2020-02-17 14:30:00,al2005,13700.0,26.0,13695.0,101.0,13700.0,al2006,13700.0,94.0,13695.0,72.0,13695.0,0.0,0.0,5.0,2020-02-17
2020-02-17 14:40:00,al2005,13700.0,52.0,13695.0,111.0,13695.0,al2006,13700.0,90.0,13695.0,30.0,13700.0,0.0,0.0,-5.0,2020-02-17
2020-02-18 09:20:00,al2005,13715.0,34.0,13710.0,92.0,13710.0,al2006,13715.0,132.0,13710.0,31.0,13710.0,0.0,0.0,0.0,2020-02-18
2020-02-18 09:30:00,al2005,13720.0,361.0,13715.0,130.0,13720.0,al2006,13720.0,54.0,13715.0,28.0,13720.0,0.0,0.0,0.0,2020-02-18
2020-02-18 09:40:00,al2005,13720.0,66.0,13715.0,33.0,13720.0,al2006,13715.0,1.0,13710.0,138.0,13715.0,5.0,5.0,5.0,2020-02-18
2020-02-18 09:50:00,al2005,13735.0,67.0,13730.0,33.0,13735.0,al2006,13730.0,66.0,13725.0,10.0,13725.0,5.0,5.0,10.0,2020-02-18
2020-02-18 10:00:00,al2005,13735.0,107.0,13730.0,148.0,13735.0,al2006,13730.0,10.0,13725.0,57.0,13725.0,5.0,5.0,10.0,2020-02-18
2020-02-18 10:10:00,al2005,13720.0,7.0,13715.0,14.0,13720.0,al2006,13720.0,35.0,13710.0,11.0,13720.0,5.0,0.0,0.0,2020-02-18
2020-02-18 10:30:00,al2005,13725.0,60.0,13720.0,175.0,13720.0,al2006,13720.0,5.0,13715.0,21.0,13720.0,5.0,5.0,0.0,2020-02-18
2020-02-18 10:40:00,al2005,13730.0,121.0,13725.0,5.0,13725.0,al2006,13720.0,25.0,13715.0,37.0,13720.0,10.0,10.0,5.0,2020-02-18
2020-02-18 10:50:00,al2005,13745.0,102.0,13740.0,157.0,13740.0,al2006,13735.0,27.0,13730.0,81.0,13730.0,10.0,10.0,10.0,2020-02-18
2020-02-18 11:00:00,al2005,13740.0,2.0,13735.0,243.0,13740.0,al2006,13735.0,30.0,13730.0,25.0,13735.0,5.0,5.0,5.0,2020-02-18
2020-02-18 11:10:00,al2005,13735.0,144.0,13730.0,106.0,13735.0,al2006,13730.0,74.0,13725.0,20.0,13725.0,5.0,5.0,10.0,2020-02-18
2020-02-18 11:20:00,al2005,13730.0,15.0,13725.0,19.0,13725.0,al2006,13725.0,8.0,13710.0,113.0,13715.0,15.0,5.0,10.0,2020-02-18
2020-02-18 11:30:00,al2005,13730.0,15.0,13725.0,19.0,13725.0,al2006,13725.0,8.0,13710.0,113.0,13715.0,15.0,5.0,10.0,2020-02-18
2020-02-18 13:30:00,al2005,13735.0,80.0,13730.0,139.0,13730.0,al2006,13725.0,22.0,13720.0,61.0,13725.0,10.0,10.0,5.0,2020-02-18
2020-02-18 13:40:00,al2005,13740.0,108.0,13735.0,66.0,13740.0,al2006,13730.0,22.0,13725.0,38.0,13730.0,10.0,10.0,10.0,2020-02-18
2020-02-18 13:50:00,al2005,13740.0,111.0,13735.0,71.0,13735.0,al2006,13730.0,41.0,13725.0,55.0,13725.0,10.0,10.0,10.0,2020-02-18
2020-02-18 14:00:00,al2005,13740.0,42.0,13735.0,126.0,13735.0,al2006,13730.0,22.0,13725.0,188.0,13725.0,10.0,10.0,10.0,2020-02-18
2020-02-18 14:10:00,al2005,13745.0,259.0,13740.0,7.0,13740.0,al2006,13730.0,54.0,13725.0,24.0,13725.0,15.0,15.0,15.0,2020-02-18
2020-02-18 14:20:00,al2005,13735.0,11.0,13730.0,198.0,13735.0,al2006,13720.0,126.0,13715.0,44.0,13720.0,15.0,15.0,15.0,2020-02-18
2020-02-18 14:30:00,al2005,13745.0,150.0,13740.0,66.0,13740.0,al2006,13725.0,91.0,13720.0,45.0,13720.0,20.0,20.0,20.0,2020-02-18
2020-02-18 14:40:00,al2005,13735.0,106.0,13730.0,300.0,13730.0,al2006,13720.0,71.0,13715.0,2.0,13715.0,15.0,15.0,15.0,2020-02-18
2020-02-19 09:20:00,al2005,13735.0,39.0,13730.0,61.0,13735.0,al2006,13725.0,84.0,13720.0,14.0,13725.0,10.0,10.0,10.0,2020-02-19
2020-02-19 09:30:00,al2005,13735.0,38.0,13730.0,98.0,13735.0,al2006,13725.0,53.0,13720.0,2.0,13720.0,10.0,10.0,15.0,2020-02-19
