date_time,id_A,ask_A,ask_vol_A,bid_A,bid_vol_A,last_A,id_B,ask_B,ask_vol_B,bid_B,bid_vol_B,last_B,spd_ask,spd_bid,spd_last,trading_date
2018-10-12 21:20:00,al1901,14360.0,27.0,14355.0,29.0,14355.0,al1902,14385.0,165.0,14380.0,36.0,14385.0,-25.0,-25.0,-30.0,2018-10-15
2018-10-12 21:30:00,al1901,14375.0,10.0,14370.0,56.0,14370.0,al1902,14405.0,7.0,14400.0,11.0,14400.0,-30.0,-30.0,-30.0,2018-10-15
2018-10-12 21:40:00,al1901,14375.0,37.0,14365.0,40.0,14370.0,al1902,14400.0,16.0,14395.0,6.0,14395.0,-30.0,-25.0,-25.0,2018-10-15
2018-10-12 21:50:00,al1901,14385.0,50.0,14380.0,1.0,14380.0,al1902,14410.0,2.0,14405.0,17.0,14410.0,-25.0,-25.0,-30.0,2018-10-15
2018-10-12 22:00:00,al1901,14350.0,30.0,14345.0,17.0,14345.0,al1902,14375.0,5.0,14370.0,12.0,14370.0,-25.0,-25.0,-25.0,2018-10-15
2018-10-12 22:10:00,al1901,14350.0,41.0,14345.0,7.0,14350.0,al1902,14375.0,6.0,14370.0,10.0,14370.0,-25.0,-25.0,-20.0,2018-10-15
2018-10-12 22:20:00,al1901,14325.0,59.0,14320.0,208.0,14325.0,al1902,14355.0,22.0,14345.0,13.0,14350.0,-25.0,-30.0,-25.0,2018-10-15
2018-10-12 22:30:00,al1901,14345.0,31.0,14340.0,11.0,14340.0,al1902,14370.0,6.0,14365.0,14.0,14370.0,-25.0,-25.0,-30.0,2018-10-15
2018-10-12 22:40:00,al1901,14325.0,17.0,14320.0,198.0,14325.0,al1902,14355.0,9.0,14350.0,12.0,14350.0,-30.0,-30.0,-25.0,2018-10-15
2018-10-12 22:50:00,al1901,14335.0,50.0,14330.0,63.0,14335.0,al1902,14365.0,19.0,14355.0,10.0,14355.0,-25.0,-30.0,-20.0,2018-10-15
2018-10-12 23:00:00,al1901,14330.0,31.0,14325.0,30.0,14330.0,al1902,14355.0,1.0,14350.0,14.0,14355.0,-25.0,-25.0,-25.0,2018-10-15
2018-10-12 23:10:00,al1901,14345.0,9.0,14340.0,13.0,14345.0,al1902,14375.0,5.0,14370.0,1.0,14370.0,-30.0,-30.0,-25.0,2018-10-15
2018-10-12 23:20:00,al1901,14330.0,15.0,14325.0,15.0,14330.0,al1902,14360.0,2.0,14350.0,5.0,14365.0,-25.0,-30.0,-35.0,2018-10-15
2018-10-12 23:30:00,al1901,14345.0,20.0,14340.0,4.0,14340.0,al1902,14375.0,7.0,14365.0,4.0,14365.0,-25.0,-30.0,-25.0,2018-10-15
2018-10-12 23:40:00,al1901,14335.0,28.0,14325.0,31.0,14330.0,al1902,14365.0,11.0,14355.0,2.0,14360.0,-30.0,-30.0,-30.0,2018-10-15
2018-10-12 23:50:00,al1901,14340.0,9.0,14335.0,2.0,14340.0,al1902,14365.0,2.0,14360.0,2.0,14365.0,-25.0,-25.0,-25.0,2018-10-15
2018-10-13 00:00:00,al1901,14325.0,4.0,14320.0,116.0,14325.0,al1902,14355.0,4.0,14350.0,3.0,14350.0,-30.0,-30.0,-25.0,2018-10-15
2018-10-13 00:10:00,al1901,14320.0,26.0,14315.0,204.0,14315.0,al1902,14355.0,3.0,14345.0,4.0,14345.0,-30.0,-35.0,-30.0,2018-10-15
2018-10-13 00:20:00,al1901,14315.0,1.0,14310.0,214.0,14315.0,al1902,14350.0,22.0,14340.0,31.0,14345.0,-30.0,-35.0,-30.0,2018-10-15
2018-10-13 00:30:00,al1901,14325.0,8.0,14315.0,15.0,14320.0,al1902,14355.0,3.0,14345.0,1.0,14350.0,-30.0,-30.0,-30.0,2018-10-15
2018-10-13 00:40:00,al1901,14320.0,9.0,14310.0,189.0,14315.0,al1902,14350.0,1.0,14340.0,29.0,14345.0,-30.0,-30.0,-30.0,2018-10-15
2018-10-15 09:20:00,al1901,14235.0,58.0,14230.0,91.0,14235.0,al1902,14265.0,43.0,14260.0,38.0,14265.0,-30.0,-30.0,-30.0,2018-10-15
2018-10-15 09:30:00,al1901,14220.0,77.0,14215.0,31.0,14220.0,al1902,14245.0,5.0,14240.0,5.0,14240.0,-25.0,-25.0,-20.0,2018-10-15
2018-10-15 09:40:00,al1901,14225.0,31.0,14220.0,26.0,14220.0,al1902,14250.0,23.0,14245.0,6.0,14250.0,-25.0,-25.0,-30.0,2018-10-15
2018-10-15 09:50:00,al1901,14220.0,47.0,14215.0,56.0,14220.0,al1902,14250.0,28.0,14240.0,22.0,14245.0,-25.0,-30.0,-25.0,2018-10-15
2018-10-15 10:00:00,al1901,14195.0,47.0,14190.0,12.0,14190.0,al1902,14220.0,13.0,14215.0,5.0,14215.0,-25.0,-25.0,-25.0,2018-10-15
2018-10-15 10:10:00,al1901,14190.0,180.0,14185.0,320.0,14185.0,al1902,14215.0,6.0,14210.0,13.0,14215.0,-25.0,-25.0,-30.0,2018-10-15
2018-10-15 10:30:00,al1901,14195.0,50.0,14190.0,68.0,14190.0,al1902,14225.0,49.0,14215.0,60.0,14220.0,-25.0,-30.0,-30.0,2018-10-15
