date_time,id_A,ask_A,ask_vol_A,bid_A,bid_vol_A,last_A,id_B,ask_B,ask_vol_B,bid_B,bid_vol_B,last_B,spd_ask,spd_bid,spd_last,trading_date
2018-09-20 21:20:00,al1812,14615.0,64.0,14610.0,66.0,14615.0,al1901,14620.0,13.0,14615.0,31.0,14615.0,-5.0,-5.0,0.0,2018-09-21
2018-09-20 21:30:00,al1812,14605.0,19.0,14600.0,60.0,14605.0,al1901,14610.0,29.0,14600.0,12.0,14605.0,0.0,-5.0,0.0,2018-09-21
2018-09-20 21:40:00,al1812,14625.0,33.0,14620.0,49.0,14625.0,al1901,14630.0,22.0,14625.0,3.0,14630.0,-5.0,-5.0,-5.0,2018-09-21
2018-09-20 21:50:00,al1812,14615.0,15.0,14610.0,58.0,14610.0,al1901,14620.0,20.0,14615.0,24.0,14620.0,-5.0,-5.0,-10.0,2018-09-21
2018-09-20 22:00:00,al1812,14625.0,37.0,14620.0,28.0,14620.0,al1901,14630.0,33.0,14625.0,13.0,14625.0,-5.0,-5.0,-5.0,2018-09-21
2018-09-20 22:10:00,al1812,14625.0,16.0,14620.0,63.0,14625.0,al1901,14625.0,10.0,14620.0,6.0,14625.0,0.0,0.0,0.0,2018-09-21
2018-09-20 22:20:00,al1812,14615.0,19.0,14610.0,48.0,14610.0,al1901,14615.0,10.0,14610.0,20.0,14610.0,0.0,0.0,0.0,2018-09-21
2018-09-20 22:30:00,al1812,14620.0,37.0,14615.0,38.0,14620.0,al1901,14615.0,3.0,14610.0,14.0,14615.0,5.0,5.0,5.0,2018-09-21
2018-09-20 22:40:00,al1812,14615.0,4.0,14610.0,75.0,14615.0,al1901,14615.0,25.0,14610.0,7.0,14610.0,0.0,0.0,5.0,2018-09-21
2018-09-20 22:50:00,al1812,14610.0,6.0,14605.0,50.0,14610.0,al1901,14605.0,7.0,14600.0,6.0,14600.0,5.0,5.0,10.0,2018-09-21
2018-09-20 23:00:00,al1812,14620.0,4.0,14615.0,55.0,14620.0,al1901,14610.0,48.0,14605.0,17.0,14610.0,10.0,10.0,10.0,2018-09-21
2018-09-20 23:10:00,al1812,14625.0,181.0,14620.0,3.0,14620.0,al1901,14615.0,36.0,14610.0,5.0,14610.0,10.0,10.0,10.0,2018-09-21
2018-09-20 23:20:00,al1812,14615.0,64.0,14610.0,28.0,14615.0,al1901,14600.0,7.0,14595.0,6.0,14595.0,15.0,15.0,20.0,2018-09-21
2018-09-20 23:30:00,al1812,14615.0,40.0,14610.0,745.0,14615.0,al1901,14605.0,24.0,14595.0,9.0,14600.0,15.0,10.0,15.0,2018-09-21
2018-09-20 23:40:00,al1812,14610.0,8.0,14605.0,52.0,14610.0,al1901,14600.0,16.0,14590.0,10.0,14595.0,15.0,10.0,15.0,2018-09-21
2018-09-20 23:50:00,al1812,14615.0,2.0,14610.0,36.0,14615.0,al1901,14600.0,2.0,14595.0,3.0,14595.0,15.0,15.0,20.0,2018-09-21
2018-09-21 00:00:00,al1812,14620.0,56.0,14615.0,27.0,14615.0,al1901,14600.0,2.0,14595.0,2.0,14600.0,20.0,20.0,15.0,2018-09-21
2018-09-21 00:10:00,al1812,14620.0,63.0,14615.0,95.0,14615.0,al1901,14600.0,3.0,14595.0,2.0,14595.0,20.0,20.0,20.0,2018-09-21
2018-09-21 00:20:00,al1812,14620.0,33.0,14615.0,95.0,14620.0,al1901,14610.0,10.0,14600.0,11.0,14610.0,15.0,10.0,10.0,2018-09-21
2018-09-21 00:30:00,al1812,14630.0,70.0,14625.0,84.0,14630.0,al1901,14615.0,12.0,14610.0,19.0,14610.0,15.0,15.0,20.0,2018-09-21
2018-09-21 00:40:00,al1812,14630.0,32.0,14625.0,34.0,14630.0,al1901,14615.0,6.0,14610.0,7.0,14610.0,15.0,15.0,20.0,2018-09-21
2018-09-21 09:20:00,al1812,14640.0,105.0,14635.0,35.0,14635.0,al1901,14610.0,57.0,14605.0,14.0,14605.0,30.0,30.0,30.0,2018-09-21
2018-09-21 09:30:00,al1812,14650.0,21.0,14645.0,65.0,14650.0,al1901,14605.0,63.0,14600.0,117.0,14600.0,45.0,45.0,50.0,2018-09-21
2018-09-21 09:40:00,al1812,14630.0,31.0,14625.0,56.0,14630.0,al1901,14565.0,27.0,14560.0,62.0,14565.0,65.0,65.0,65.0,2018-09-21
2018-09-21 09:50:00,al1812,14620.0,61.0,14615.0,24.0,14615.0,al1901,14565.0,19.0,14555.0,11.0,14560.0,60.0,55.0,55.0,2018-09-21
2018-09-21 10:00:00,al1812,14640.0,8.0,14635.0,63.0,14640.0,al1901,14585.0,87.0,14580.0,21.0,14585.0,55.0,55.0,55.0,2018-09-21
2018-09-21 10:10:00,al1812,14630.0,40.0,14625.0,40.0,14630.0,al1901,14575.0,4.0,14570.0,22.0,14570.0,55.0,55.0,60.0,2018-09-21
2018-09-21 10:30:00,al1812,14625.0,30.0,14620.0,24.0,14625.0,al1901,14570.0,18.0,14565.0,5.0,14565.0,55.0,55.0,60.0,2018-09-21
2018-09-21 10:40:00,al1812,14615.0,59.0,14610.0,13.0,14615.0,al1901,14570.0,56.0,14560.0,16.0,14565.0,50.0,45.0,50.0,2018-09-21
2018-09-21 10:50:00,al1812,14610.0,33.0,14605.0,111.0,14605.0,al1901,14560.0,1.0,14555.0,18.0,14555.0,50.0,50.0,50.0,2018-09-21
2018-09-21 11:00:00,al1812,14620.0,65.0,14615.0,44.0,14615.0,al1901,14585.0,18.0,14575.0,18.0,14575.0,40.0,35.0,40.0,2018-09-21
2018-09-21 11:10:00,al1812,14625.0,113.0,14620.0,37.0,14625.0,al1901,14595.0,37.0,14590.0,33.0,14595.0,30.0,30.0,30.0,2018-09-21
2018-09-21 11:20:00,al1812,14615.0,31.0,14610.0,87.0,14615.0,al1901,14600.0,21.0,14590.0,1.0,14595.0,20.0,15.0,20.0,2018-09-21
2018-09-21 11:30:00,al1812,14615.0,31.0,14610.0,83.0,14615.0,al1901,14600.0,21.0,14590.0,1.0,14595.0,20.0,15.0,20.0,2018-09-21
2018-09-21 13:30:00,al1812,14680.0,38.0,14675.0,46.0,14680.0,al1901,14645.0,28.0,14640.0,74.0,14645.0,35.0,35.0,35.0,2018-09-21
2018-09-21 13:40:00,al1812,14680.0,87.0,14675.0,32.0,14675.0,al1901,14645.0,68.0,14640.0,20.0,14640.0,35.0,35.0,35.0,2018-09-21
2018-09-21 13:50:00,al1812,14680.0,41.0,14675.0,25.0,14680.0,al1901,14635.0,10.0,14630.0,2.0,14630.0,45.0,45.0,50.0,2018-09-21
2018-09-21 14:00:00,al1812,14680.0,34.0,14675.0,47.0,14680.0,al1901,14625.0,170.0,14620.0,23.0,14620.0,55.0,55.0,60.0,2018-09-21
2018-09-21 14:10:00,al1812,14680.0,45.0,14675.0,68.0,14680.0,al1901,14630.0,29.0,14625.0,3.0,14625.0,50.0,50.0,55.0,2018-09-21
2018-09-21 14:20:00,al1812,14675.0,32.0,14670.0,21.0,14670.0,al1901,14625.0,1.0,14620.0,72.0,14625.0,50.0,50.0,45.0,2018-09-21
2018-09-21 14:30:00,al1812,14680.0,87.0,14675.0,58.0,14680.0,al1901,14635.0,3.0,14630.0,40.0,14635.0,45.0,45.0,45.0,2018-09-21
2018-09-21 14:40:00,al1812,14665.0,33.0,14660.0,51.0,14665.0,al1901,14635.0,46.0,14630.0,2.0,14630.0,30.0,30.0,35.0,2018-09-21
2018-09-25 09:20:00,al1812,14640.0,54.0,14635.0,24.0,14640.0,al1901,14600.0,9.0,14595.0,34.0,14600.0,40.0,40.0,40.0,2018-09-25
2018-09-25 09:30:00,al1812,14645.0,27.0,14640.0,42.0,14645.0,al1901,14610.0,37.0,14605.0,20.0,14605.0,35.0,35.0,40.0,2018-09-25
2018-09-25 09:40:00,al1812,14640.0,20.0,14635.0,31.0,14640.0,al1901,14600.0,28.0,14595.0,29.0,14595.0,40.0,40.0,45.0,2018-09-25
2018-09-25 09:50:00,al1812,14635.0,101.0,14630.0,32.0,14630.0,al1901,14595.0,60.0,14585.0,122.0,14590.0,45.0,40.0,40.0,2018-09-25
2018-09-25 10:00:00,al1812,14625.0,22.0,14620.0,39.0,14625.0,al1901,14585.0,9.0,14580.0,11.0,14580.0,40.0,40.0,45.0,2018-09-25
2018-09-25 10:10:00,al1812,14615.0,6.0,14610.0,53.0,14615.0,al1901,14570.0,1.0,14565.0,9.0,14570.0,45.0,45.0,45.0,2018-09-25
2018-09-25 10:30:00,al1812,14615.0,77.0,14610.0,60.0,14610.0,al1901,14570.0,16.0,14565.0,61.0,14570.0,45.0,45.0,40.0,2018-09-25
2018-09-25 10:40:00,al1812,14615.0,55.0,14610.0,51.0,14610.0,al1901,14580.0,34.0,14575.0,54.0,14575.0,35.0,35.0,35.0,2018-09-25
2018-09-25 10:50:00,al1812,14615.0,91.0,14610.0,58.0,14610.0,al1901,14575.0,9.0,14570.0,29.0,14575.0,40.0,40.0,35.0,2018-09-25
2018-09-25 11:00:00,al1812,14620.0,59.0,14615.0,44.0,14620.0,al1901,14580.0,2.0,14575.0,24.0,14580.0,40.0,40.0,40.0,2018-09-25
2018-09-25 11:10:00,al1812,14635.0,55.0,14630.0,34.0,14630.0,al1901,14605.0,17.0,14595.0,38.0,14600.0,35.0,30.0,30.0,2018-09-25
2018-09-25 11:20:00,al1812,14620.0,52.0,14615.0,25.0,14620.0,al1901,14595.0,14.0,14585.0,13.0,14590.0,30.0,25.0,30.0,2018-09-25
2018-09-25 11:30:00,al1812,14620.0,50.0,14615.0,39.0,14620.0,al1901,14595.0,14.0,14585.0,13.0,14590.0,30.0,25.0,30.0,2018-09-25
2018-09-25 13:30:00,al1812,14625.0,41.0,14620.0,114.0,14620.0,al1901,14595.0,3.0,14590.0,46.0,14595.0,30.0,30.0,25.0,2018-09-25
2018-09-25 13:40:00,al1812,14610.0,44.0,14605.0,38.0,14605.0,al1901,14580.0,35.0,14575.0,5.0,14575.0,30.0,30.0,30.0,2018-09-25
2018-09-25 13:50:00,al1812,14625.0,32.0,14620.0,17.0,14620.0,al1901,14595.0,20.0,14590.0,20.0,14590.0,30.0,30.0,30.0,2018-09-25
2018-09-25 14:00:00,al1812,14625.0,34.0,14620.0,13.0,14620.0,al1901,14590.0,12.0,14585.0,11.0,14590.0,35.0,35.0,30.0,2018-09-25
